Complexity,Merge-Ordenado,Merge-Desordenado,Quick-Ordenado,Quick-Desordenado,Cycle-Ordenado,Cycle-Desordenado,Radix-Ordenado,Radix-Desordenado,Gnome-Ordenado,Gnome-Desordenado
364,0.001146,0.00159,0.001358,0.001021,0.000295,0.001132,0.000213,0.00018,0.000012,0.001132
370,0.001089,0.001274,0.002064,0.000991,0.000309,0.001184,0.000249,0.000148,0.000016,0.00119
376,0.00127,0.001334,0.001515,0.001039,0.000317,0.001232,0.000198,0.000185,0.000014,0.001223
382,0.001358,0.00123,0.00122,0.001107,0.000327,0.001288,0.000247,0.000162,0.000017,0.001284
388,0.001723,0.001501,0.001407,0.001196,0.000344,0.00133,0.000284,0.000172,0.000016,0.002056
394,0.00156,0.001703,0.001835,0.001501,0.000369,0.00133,0.000268,0.000183,0.000042,0.00163
400,0.001444,0.001576,0.001287,0.001454,0.000361,0.00086,0.000219,0.000291,0.00004,0.001462
406,0.001206,0.001334,0.001295,0.001478,0.000372,0.00089,0.000201,0.000341,0.000037,0.001411
412,0.001169,0.001378,0.001324,0.001538,0.000411,0.000912,0.000297,0.000327,0.000022,0.001478
418,0.001557,0.001364,0.001343,0.001681,0.000397,0.000927,0.000263,0.000211,0.000013,0.00154
424,0.001702,0.00135,0.001376,0.001657,0.000419,0.000952,0.000156,0.000208,0.000012,0.001558
430,0.001975,0.001435,0.001628,0.001749,0.000614,0.000995,0.000155,0.000201,0.000012,0.0016
436,0.001563,0.00145,0.001327,0.001796,0.000473,0.001003,0.000155,0.000179,0.000013,0.001665
442,0.001515,0.001531,0.001345,0.001762,0.000434,0.001008,0.000148,0.000219,0.00003,0.001709
448,0.000525,0.001523,0.00137,0.001742,0.000447,0.001027,0.000137,0.00024,0.000028,0.00177
454,0.00048,0.001485,0.00142,0.001335,0.000491,0.00105,0.000158,0.000218,0.000017,0.001829
460,0.000476,0.001552,0.001474,0.001587,0.000479,0.001073,0.000159,0.00017,0.000018,0.001841
466,0.000623,0.001587,0.001529,0.001401,0.000675,0.001096,0.000153,0.000195,0.000018,0.001875
472,0.000635,0.00166,0.001575,0.001412,0.000693,0.001119,0.00021,0.000243,0.000018,0.001948
478,0.000513,0.001793,0.001617,0.001395,0.000395,0.001198,0.000228,0.000301,0.000018,0.002027
484,0.000541,0.002337,0.001684,0.00141,0.000672,0.001182,0.000204,0.000229,0.000018,0.002104
490,0.0007,0.001741,0.001698,0.001672,0.000728,0.0012,0.000265,0.000221,0.000018,0.002191
496,0.000621,0.001655,0.001725,0.001565,0.000724,0.001218,0.000181,0.000184,0.000018,0.002379
502,0.000699,0.001681,0.001756,0.001544,0.000472,0.001223,0.000209,0.000124,0.000018,0.002421
508,0.000615,0.002183,0.001799,0.001714,0.000415,0.001366,0.000221,0.000124,0.000017,0.002227
514,0.00065,0.001979,0.001842,0.001907,0.000486,0.001274,0.000239,0.000122,0.000012,0.002238
520,0.000892,0.002114,0.001944,0.002008,0.000484,0.001842,0.000336,0.000149,0.000014,0.002332
526,0.005647,0.002276,0.001927,0.002156,0.00047,0.001347,0.000287,0.000136,0.000012,0.002473
532,0.000763,0.002116,0.002024,0.002134,0.000546,0.001358,0.00029,0.000191,0.000015,0.002457
538,0.000861,0.002183,0.002116,0.002039,0.000527,0.001369,0.000302,0.00019,0.000016,0.002571
544,0.00085,0.002311,0.002055,0.002076,0.000579,0.001894,0.000284,0.000185,0.000018,0.002766
550,0.001046,0.001885,0.002107,0.002045,0.000537,0.001428,0.000305,0.000227,0.000018,0.002363
556,0.001016,0.001927,0.002827,0.001917,0.000844,0.001447,0.000292,0.000186,0.000018,0.002381
562,0.001421,0.001998,0.002184,0.001875,0.000837,0.001484,0.000296,0.000169,0.000018,0.002591
568,0.001659,0.002321,0.002231,0.002381,0.000506,0.001538,0.000222,0.000145,0.000018,0.003164
574,0.001322,0.006611,0.003073,0.002486,0.000527,0.001588,0.000324,0.000134,0.000018,0.002875
580,0.001437,0.002061,0.003763,0.002547,0.000606,0.001651,0.000329,0.000147,0.000018,0.002886
